N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.01,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
1.41,50000,-1.90148673,0.006045292,0.099530368,0.06936188,1.84E-05,9.10E-07,0.003406284,7.66E-05,,,,,,,,,,,,,,
1.42,50000,-1.962835,0.005776473,0.989914156,0.001692538,1.65E-05,8.65E-07,2.02E-06,8.00E-08,,,,,,,,,,,,,,
1.43,50000,-1.961289695,0.00587653,0.989478353,0.001728394,1.69E-05,7.58E-07,2.09E-06,1.15E-07,,,,,,,,,,,,,,
1.44,50000,-1.959549207,0.006006308,-0.988974957,0.001784085,1.73E-05,7.07E-07,2.21E-06,9.38E-08,,,,,,,,,,,,,,
1.45,50000,-1.894021352,0.00689626,0.203620564,0.050482414,2.25E-05,8.45E-07,0.001757888,6.33E-05,,,,,,,,,,,,,,
1.46,50000,-1.89181928,0.006721253,-0.129039076,0.08515439,2.12E-05,8.83E-07,0.004956896,0.000149563,,,,,,,,,,,,,,
1.47,50000,-1.953646469,0.006520639,-0.98727879,0.001930099,1.96E-05,8.17E-07,2.53E-06,9.81E-08,,,,,,,,,,,,,,
1.48,50000,-1.887934671,0.007174136,-0.14788956,0.059827608,2.34E-05,1.15E-06,0.002417367,6.61E-05,,,,,,,,,,,,,,
1.49,50000,-1.94958863,0.006786174,-0.986098089,0.002031201,2.07E-05,9.71E-07,2.76E-06,1.19E-07,,,,,,,,,,,,,,
1.5,50000,-1.947785406,0.006936107,-0.985563165,0.002110365,2.13E-05,7.32E-07,2.97E-06,1.06E-07,,,,,,,,,,,,,,
1.51,50000,-1.945318119,0.007142449,-0.984837301,0.002164666,2.24E-05,9.13E-07,3.09E-06,1.43E-07,,,,,,,,,,,,,,
1.52,50000,-1.877342535,0.007514126,0.078384772,0.126029231,2.44E-05,1.06E-06,0.010421107,0.000396236,,,,,,,,,,,,,,
1.53,50000,-1.875907144,0.00780753,-0.075681032,0.026961239,2.60E-05,1.40E-06,0.000474705,2.29E-05,,,,,,,,,,,,,,
1.54,50000,-1.872989336,0.007745909,0.150528356,0.042099452,2.52E-05,1.02E-06,0.001149225,6.80E-05,,,,,,,,,,,,,,
1.55,50000,-1.869655289,0.007986148,-0.149527736,0.074410067,2.65E-05,1.17E-06,0.003564528,7.59E-05,,,,,,,,,,,,,,
1.56,50000,-1.933593097,0.007858521,0.981316696,0.002466172,2.53E-05,1.03E-06,3.89E-06,1.81E-07,,,,,,,,,,,,,,
1.57,50000,-1.930780089,0.008108383,-0.980494243,0.002582383,2.66E-05,1.23E-06,4.24E-06,2.14E-07,,,,,,,,,,,,,,
1.58,50000,-1.861134881,0.008548123,-0.131747988,0.118559959,2.92E-05,1.43E-06,0.008888398,0.000214375,,,,,,,,,,,,,,
1.59,50000,-1.925611039,0.00832319,0.978897243,0.002659528,2.74E-05,1.30E-06,4.44E-06,2.19E-07,,,,,,,,,,,,,,
1.6,50000,-1.922354663,0.00858407,-0.977879659,0.002770008,2.87E-05,1.19E-06,4.79E-06,1.92E-07,,,,,,,,,,,,,,
1.61,50000,-1.920125039,0.008682851,0.977199598,0.002803404,2.90E-05,1.22E-06,4.88E-06,1.94E-07,,,,,,,,,,,,,,
1.62,50000,-1.916672623,0.008849166,0.976103139,0.002880962,2.98E-05,1.29E-06,5.12E-06,2.15E-07,,,,,,,,,,,,,,
1.63,50000,-1.913719895,0.00913131,0.975172395,0.003014998,3.13E-05,1.20E-06,5.58E-06,2.32E-07,,,,,,,,,,,,,,
1.64,50000,-1.910753872,0.008984472,0.974278767,0.002940387,3.00E-05,1.25E-06,5.27E-06,2.30E-07,,,,,,,,,,,,,,
1.65,50000,-1.907711472,0.009471439,-0.973290727,0.003163115,3.30E-05,1.34E-06,6.05E-06,3.05E-07,,,,,,,,,,,,,,
1.66,50000,-1.835607265,0.010031404,0.334309784,0.101347384,3.65E-05,1.85E-06,0.006180356,0.000145413,,,,,,,,,,,,,,
1.67,50000,-1.900975161,0.010062376,0.97113546,0.00341921,3.63E-05,1.16E-06,6.98E-06,2.79E-07,,,,,,,,,,,,,,
1.68,50000,-1.896965369,0.010173879,-0.969788949,0.003491821,3.66E-05,1.45E-06,7.24E-06,3.69E-07,,,,,,,,,,,,,,
1.69,50000,-1.823873121,0.010593614,-0.292829232,0.100880539,3.92E-05,2.04E-06,0.006007424,0.000214632,,,,,,,,,,,,,,
1.7,50000,-1.889501952,0.010367916,-0.967376637,0.00358596,3.71E-05,1.74E-06,7.55E-06,3.88E-07,,,,,,,,,,,,,,
1.71,50000,-1.885550575,0.010794529,-0.966098673,0.00374626,3.98E-05,1.68E-06,8.19E-06,3.12E-07,,,,,,,,,,,,,,
1.72,50000,-1.881368799,0.011042057,0.964608604,0.003978439,4.12E-05,1.61E-06,9.19E-06,3.88E-07,,,,,,,,,,,,,,
1.73,50000,-1.877544992,0.011214412,0.963414868,0.004031158,4.19E-05,1.64E-06,9.39E-06,3.67E-07,,,,,,,,,,,,,,
1.74,50000,-1.873661696,0.011108711,0.962131295,0.003946575,4.07E-05,2.15E-06,8.94E-06,3.74E-07,,,,,,,,,,,,,,
1.75,50000,-1.869391848,0.0115223,-0.960632327,0.004253835,4.33E-05,1.82E-06,1.03E-05,5.05E-07,,,,,,,,,,,,,,
1.76,50000,-1.864865064,0.011823991,0.959089523,0.004308266,4.51E-05,1.91E-06,1.05E-05,4.60E-07,,,,,,,,,,,,,,
1.77,50000,-1.861291648,0.011822742,-0.957934499,0.004330536,4.46E-05,1.89E-06,1.06E-05,5.60E-07,,,,,,,,,,,,,,
1.78,50000,-1.855790848,0.012288111,-0.95599504,0.00451066,4.76E-05,1.93E-06,1.14E-05,4.60E-07,,,,,,,,,,,,,,
1.79,50000,-1.850918184,0.012507797,0.9541911,0.004776182,4.88E-05,2.07E-06,1.27E-05,5.76E-07,,,,,,,,,,,,,,
1.8,50000,-1.772585464,0.013039503,-0.171865404,0.044454779,5.24E-05,2.22E-06,0.001095716,3.88E-05,,,,,,,,,,,,,,
1.81,50000,-1.840752712,0.012949526,0.95047774,0.005207267,5.11E-05,2.20E-06,1.50E-05,7.34E-07,,,,,,,,,,,,,,
1.82,50000,-1.762546857,0.013909659,-0.221715496,0.09919717,5.84E-05,2.66E-06,0.005397048,0.000113018,,,,,,,,,,,,,,
1.83,50000,-1.757621081,0.013745877,-0.035188764,0.07736364,5.63E-05,2.34E-06,0.003264584,9.65E-05,,,,,,,,,,,,,,
1.84,50000,-1.826383528,0.013627508,-0.945404816,0.00546579,5.48E-05,2.16E-06,1.62E-05,8.72E-07,,,,,,,,,,,,,,
1.85,50000,-1.819811208,0.013566245,-0.94276468,0.0055482,5.37E-05,2.41E-06,1.66E-05,7.14E-07,,,,,,,,,,,,,,
1.86,50000,-1.738839776,0.014784913,0.23591738,0.118570789,6.30E-05,3.24E-06,0.007553942,0.000198416,,,,,,,,,,,,,,
1.87,50000,-1.80894536,0.014372905,-0.938833332,0.006007399,5.90E-05,2.67E-06,1.92E-05,9.50E-07,,,,,,,,,,,,,,
1.88,50000,-1.802861113,0.014372404,0.936546116,0.005989296,5.84E-05,2.89E-06,1.90E-05,8.36E-07,,,,,,,,,,,,,,
