N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
10,1.2,3,0.01,0.1,10000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,10,FALSE,FALSE,10000,10000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,std_d1,std_d2,std_d3,std_d4,,,,,,,,,,,,,,
2.45,100,0.009522223,-0.004346667,-0.010308886,-0.012808884,0.009145391,0.004411494,0.006527199,0.008602283,,,,,,,,,,,,,,
2.46,100,0.010094224,-0.004514667,-0.010956886,-0.013339106,0.00854031,0.004410824,0.00553389,0.008268549,,,,,,,,,,,,,,
2.47,100,0.008826667,-0.004237779,-0.009771109,-0.012531107,0.008638184,0.004324754,0.005504499,0.008440691,,,,,,,,,,,,,,
2.48,100,0.011091112,-0.003606668,-0.01090222,-0.014991105,0.00913231,0.004393451,0.006076354,0.00883301,,,,,,,,,,,,,,
2.49,100,0.011050668,-0.004718223,-0.011911553,-0.014484884,0.008426527,0.003976188,0.006168989,0.007985663,,,,,,,,,,,,,,
2.5,100,0.009475112,-0.003927112,-0.010160443,-0.01306044,0.008780849,0.003831712,0.005396507,0.008677066,,,,,,,,,,,,,,
2.51,100,0.011967113,-0.004399556,-0.01242844,-0.015652882,0.009236825,0.00495145,0.006000393,0.008924775,,,,,,,,,,,,,,
2.52,100,0.011813778,-0.004286223,-0.012332885,-0.015426216,0.009148632,0.004231723,0.006147273,0.008865833,,,,,,,,,,,,,,
2.53,100,0.012006223,-0.004318223,-0.012138219,-0.015991549,0.009288073,0.005033021,0.005653098,0.009928532,,,,,,,,,,,,,,
2.54,100,0.012470224,-0.004985333,-0.012738663,-0.015863105,0.009472916,0.005193077,0.006256728,0.009391963,,,,,,,,,,,,,,
2.55,100,0.012040001,-0.004351112,-0.012282219,-0.016171104,0.007985998,0.004174885,0.005801436,0.007981158,,,,,,,,,,,,,,
2.56,100,0.012791557,-0.003890668,-0.012706219,-0.016132883,0.008148095,0.005051664,0.005545473,0.008111806,,,,,,,,,,,,,,
2.57,100,0.012192446,-0.004223112,-0.01301644,-0.015985326,0.008195222,0.005479438,0.00632419,0.008683399,,,,,,,,,,,,,,
2.58,100,0.013125334,-0.003888001,-0.012365775,-0.017027993,0.008462566,0.004241162,0.005037185,0.008267408,,,,,,,,,,,,,,
2.59,100,0.01252089,-0.005168001,-0.013074663,-0.017072437,0.008045325,0.004901837,0.005927383,0.008252289,,,,,,,,,,,,,,
2.6,100,0.014152002,-0.00459689,-0.013650218,-0.017747992,0.008871019,0.004813233,0.006038773,0.008579167,,,,,,,,,,,,,,
2.61,100,0.012999113,-0.004012001,-0.01315644,-0.016898659,0.00838064,0.005208774,0.00544302,0.008255555,,,,,,,,,,,,,,
2.62,100,0.011828001,-0.004814222,-0.012867552,-0.015800883,0.007606065,0.005411131,0.005734341,0.007979986,,,,,,,,,,,,,,
2.63,100,0.011721334,-0.00536089,-0.012456441,-0.015745328,0.008551694,0.005189879,0.00629455,0.008316234,,,,,,,,,,,,,,
2.64,100,0.011686667,-0.004882223,-0.012537774,-0.016495549,0.008359297,0.004891883,0.005454362,0.008280976,,,,,,,,,,,,,,
2.65,100,0.01217289,-0.004771556,-0.013331551,-0.016364882,0.007456036,0.004953789,0.005862377,0.007777482,,,,,,,,,,,,,,
2.66,100,0.012395556,-0.004962223,-0.012411107,-0.016846659,0.008364688,0.005763387,0.006065789,0.008332817,,,,,,,,,,,,,,
2.67,100,0.012864446,-0.004771112,-0.012924441,-0.017391104,0.007790681,0.005105806,0.005375459,0.008766253,,,,,,,,,,,,,,
2.68,100,0.012294223,-0.005570223,-0.013599107,-0.016639105,0.0074194,0.00501485,0.005234098,0.008036468,,,,,,,,,,,,,,
2.69,100,0.013590223,-0.005427556,-0.014083106,-0.01830088,0.009099964,0.005479104,0.005538168,0.0085697,,,,,,,,,,,,,,
2.7,100,0.012724446,-0.006444444,-0.013788885,-0.017255549,0.008071633,0.005630778,0.005626193,0.007387723,,,,,,,,,,,,,,
2.71,100,0.013789779,-0.005170222,-0.01476355,-0.017830214,0.00794801,0.005285943,0.005521099,0.007968049,,,,,,,,,,,,,,
2.72,100,0.013773779,-0.005446222,-0.013917328,-0.018295103,0.008378214,0.005764538,0.005244712,0.008304223,,,,,,,,,,,,,,
2.73,100,0.013460002,-0.006106667,-0.014097773,-0.018326658,0.007121046,0.005612978,0.005224119,0.007677503,,,,,,,,,,,,,,
2.74,100,0.01392978,-0.005972445,-0.014474662,-0.018279103,0.008187124,0.005651147,0.004898927,0.007665042,,,,,,,,,,,,,,
2.75,100,0.013386224,-0.006287112,-0.014878217,-0.017944881,0.008209608,0.005486177,0.005156597,0.00773782,,,,,,,,,,,,,,
2.76,100,0.012052446,-0.005774223,-0.013829773,-0.017694215,0.00743441,0.004948471,0.005717117,0.007526029,,,,,,,,,,,,,,
2.77,100,0.013987557,-0.005590223,-0.014756883,-0.019350214,0.00691086,0.005266066,0.005392261,0.007287504,,,,,,,,,,,,,,
2.78,100,0.01450089,-0.006748,-0.015576882,-0.017872437,0.007502265,0.004928048,0.005869319,0.007213867,,,,,,,,,,,,,,
2.79,100,0.014235558,-0.00594,-0.014433329,-0.018673325,0.007839283,0.006029042,0.004340452,0.008307368,,,,,,,,,,,,,,
2.8,100,0.012201779,-0.005707112,-0.01366933,-0.017331549,0.008041348,0.0050354,0.005219659,0.007883439,,,,,,,,,,,,,,
2.81,100,0.014512001,-0.00599689,-0.015327994,-0.019485769,0.007563919,0.004934466,0.005042121,0.007698936,,,,,,,,,,,,,,
2.82,100,0.013770668,-0.005738223,-0.014920439,-0.018787103,0.007503993,0.005106927,0.005695816,0.00638094,,,,,,,,,,,,,,
2.83,100,0.012999557,-0.005853778,-0.01487155,-0.01861377,0.00723763,0.005774956,0.006092172,0.006869619,,,,,,,,,,,,,,
2.84,100,0.013602668,-0.006950666,-0.014681772,-0.018123992,0.007467067,0.005983672,0.005171394,0.00737788,,,,,,,,,,,,,,
2.85,100,0.015244446,-0.006517778,-0.01569555,-0.018859992,0.007640835,0.005319162,0.005140835,0.006937926,,,,,,,,,,,,,,
2.86,100,0.014706669,-0.00735111,-0.015442216,-0.01916888,0.007513102,0.005800462,0.005662659,0.006745023,,,,,,,,,,,,,,
2.87,100,0.013307556,-0.007521333,-0.014761328,-0.018719103,0.007458387,0.005809418,0.005146918,0.007026304,,,,,,,,,,,,,,
2.88,100,0.014453334,-0.006722222,-0.01567555,-0.020026657,0.007789815,0.006067761,0.005574012,0.007190007,,,,,,,,,,,,,,
2.89,100,0.013940001,-0.007333333,-0.015355551,-0.018939992,0.007124421,0.005654823,0.005311475,0.006878856,,,,,,,,,,,,,,
2.9,100,0.01371378,-0.006088444,-0.015475105,-0.019495102,0.007359514,0.00579157,0.005185365,0.007742103,,,,,,,,,,,,,,
2.91,100,0.013625335,-0.006285778,-0.014659107,-0.018543547,0.00797193,0.006540711,0.005291529,0.007480988,,,,,,,,,,,,,,
2.92,100,0.013166668,-0.006586666,-0.015295551,-0.017233327,0.007457837,0.006048663,0.005288382,0.006959713,,,,,,,,,,,,,,
