N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
150,1.2,3,0.01,0.1,5000,100,0,1,0,4,2.5,TRUE,0.2,0.04,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,10000,2000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,C_mean,C_std,chi_mean,chi_std,,,,,,,,,,,,,,,,,,
2.81,5000,-0.854787022,0.013890569,-0.000119004,0.025588129,2.45E-05,1.67E-06,0.000230599,1.53E-05,,,,,,,,,,,,,,,,,,
2.82,5000,-0.850868729,0.012707863,-0.001068231,0.024152822,1.99E-05,1.34E-06,0.000206208,9.59E-06,,,,,,,,,,,,,,,,,,
2.83,5000,-0.84329936,0.013208684,-0.000898471,0.021392543,2.17E-05,1.24E-06,0.000162395,7.03E-06,,,,,,,,,,,,,,,,,,
2.84,5000,-0.836989831,0.013012377,-0.004621742,0.021278672,2.10E-05,1.53E-06,0.000159511,9.94E-06,,,,,,,,,,,,,,,,,,
2.85,5000,-0.833917796,0.013323758,0.007940622,0.03100412,2.16E-05,1.50E-06,0.00033542,1.61E-05,,,,,,,,,,,,,,,,,,
2.86,5000,-0.828056533,0.012552792,-0.000867698,0.025363976,1.92E-05,2.00E-06,0.000224177,1.52E-05,,,,,,,,,,,,,,,,,,
2.87,5000,-0.82598432,0.012318005,0.008101671,0.019923803,1.84E-05,1.24E-06,0.000136639,5.30E-06,,,,,,,,,,,,,,,,,,
2.88,5000,-0.82086304,0.013347863,0.006709173,0.019553601,2.15E-05,1.37E-06,0.000131581,6.62E-06,,,,,,,,,,,,,,,,,,
2.89,5000,-0.815126507,0.013477759,-0.007367058,0.024016356,2.15E-05,1.55E-06,0.000198949,8.06E-06,,,,,,,,,,,,,,,,,,
2.9,5000,-0.810853564,0.012877722,0.006963431,0.022301304,1.97E-05,7.48E-07,0.000170687,1.02E-05,,,,,,,,,,,,,,,,,,
2.91,5000,-0.806704071,0.013503677,0.001738293,0.023012969,2.16E-05,6.57E-07,0.000180793,6.37E-06,,,,,,,,,,,,,,,,,,
2.92,5000,-0.801170347,0.013290931,-0.010706524,0.023989891,2.09E-05,6.97E-07,0.000197725,1.22E-05,,,,,,,,,,,,,,,,,,
2.93,5000,-0.798828338,0.01270428,-0.000458898,0.021649647,1.89E-05,1.18E-06,0.000159638,9.41E-06,,,,,,,,,,,,,,,,,,
2.94,5000,-0.792579076,0.012585475,0.004994613,0.020252592,1.83E-05,1.28E-06,0.000139388,7.96E-06,,,,,,,,,,,,,,,,,,
2.95,5000,-0.790485173,0.012665439,-0.003252889,0.022669621,1.83E-05,9.27E-07,0.000173078,5.57E-06,,,,,,,,,,,,,,,,,,
2.96,5000,-0.785767218,0.013240205,-0.002575876,0.020700099,2.00E-05,1.13E-06,0.000145168,7.61E-06,,,,,,,,,,,,,,,,,,
2.97,5000,-0.781398382,0.01179296,-0.000213173,0.020490845,1.56E-05,1.01E-06,0.000140105,6.21E-06,,,,,,,,,,,,,,,,,,
2.98,5000,-0.777968978,0.011978336,-0.006375147,0.022526354,1.65E-05,8.04E-07,0.000167733,1.22E-05,,,,,,,,,,,,,,,,,,
2.99,5000,-0.772514667,0.011927126,-0.002158542,0.021566583,1.58E-05,6.17E-07,0.000154821,1.07E-05,,,,,,,,,,,,,,,,,,
3,5000,-0.768228053,0.01248311,-0.003876978,0.019286782,1.73E-05,7.99E-07,0.000126073,7.21E-06,,,,,,,,,,,,,,,,,,
3,5000,-0.767055111,0.011657227,0.0056112,0.021437199,1.50E-05,5.35E-07,0.000153799,7.51E-06,,,,,,,,,,,,,,,,,,
