N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.005,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
2.10,50000.00,-1.62,0.02,0.85,0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.10,50000.00,-1.61,0.02,0.84,0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.11,50000.00,-1.60,0.03,-0.80,0.07,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.11,50000.00,-1.60,0.02,0.84,0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.12,50000.00,-1.60,0.02,-0.84,0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.12,50000.00,-1.59,0.02,-0.83,0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.13,50000.00,-1.58,0.03,0.81,0.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.13,50000.00,-1.58,0.03,0.82,0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.14,50000.00,-1.57,0.03,-0.80,0.05,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.14,50000.00,-1.56,0.03,0.81,0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.15,50000.00,-1.56,0.02,-0.81,0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.15,50000.00,-1.54,0.03,-0.77,0.07,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.16,50000.00,-1.54,0.03,0.77,0.05,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.16,50000.00,-1.54,0.03,-0.79,0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.17,50000.00,-1.53,0.03,-0.79,0.03,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.17,50000.00,-1.50,0.04,-0.67,0.12,0.00,0.00,0.01,0.00,,,,,,,,,,,,,,
2.18,50000.00,-1.52,0.03,0.78,0.03,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.18,50000.00,-1.44,0.03,-0.24,0.24,0.00,0.00,0.03,0.00,,,,,,,,,,,,,,
2.19,50000.00,-1.49,0.03,0.74,0.05,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.19,50000.00,-1.48,0.03,-0.71,0.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
